timestamp,people_count,crowd_level
2025-12-21 10:59:06.726178,11,Medium
2025-12-21 10:59:06.919109,11,Medium
2025-12-21 10:59:07.078621,10,Medium
2025-12-21 10:59:07.238396,11,Medium
2025-12-21 10:59:07.431847,11,Medium
2025-12-21 10:59:07.597206,12,Medium
2025-12-21 10:59:07.770614,13,Medium
2025-12-21 10:59:07.952734,11,Medium
2025-12-21 10:59:08.125909,10,Medium
2025-12-21 10:59:08.300126,10,Medium
2025-12-21 10:59:08.471610,11,Medium
2025-12-21 10:59:08.654340,11,Medium
2025-12-21 10:59:08.834725,11,Medium
2025-12-21 10:59:09.023105,10,Medium
2025-12-21 10:59:09.203170,11,Medium
2025-12-21 10:59:09.381148,10,Medium
2025-12-21 10:59:09.566854,12,Medium
2025-12-21 10:59:09.742129,12,Medium
2025-12-21 10:59:09.930191,12,Medium
2025-12-21 10:59:10.123810,12,Medium
